"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",42927940,42928920,980,"*",-1.73043685300336,44.9913581780874,353218,116244,116269,26,26,0,0,7.3517999656916e-05,0.036
"DMR_2","chr6",24910562,24911615,1053,"*",-2.26116530328556,38.4398101558545,347914,109124,109140,17,17,0,0,0.000122529999428193,0.06
"DMR_3","chr1",39874802,39875069,267,"*",-2.14285470482302,25.7142564578762,12601,3654,3665,12,12,0,0,0.000628987330398059,0.212
"DMR_4","chr14",24640895,24641706,811,"*",-2.0481274666484,24.5775295997808,121079,39016,39027,12,12,8.16866662854622e-06,0.004,0.000727011329940614,0.24
"DMR_5","chr8",11665774,11666810,1036,"*",-1.60892578527947,25.7428125644715,392864,126917,126932,16,16,1.63373332570924e-05,0.008,0.000620818663769513,0.212
"DMR_6","chr12",104697126,104697620,494,"*",-1.98292887365384,23.7951464838461,101705,33495,33506,12,12,1.63373332570924e-05,0.008,0.000833203996111715,0.256
"DMR_7","chr19",7459697,7460327,630,"*",-2.09572397265097,18.8615157538587,199823,64667,64675,9,9,3.26746665141849e-05,0.016,0.00221370865633603,0.448
"DMR_8","chr8",38831148,38831857,709,"*",-2.01753649397775,22.1929014337552,397070,128044,128054,11,11,4.08433331427311e-05,0.02,0.00110276999485374,0.324
"DMR_9","chr22",38092643,38093207,564,"*",-1.76088963955543,21.1306756746652,270289,86814,86825,12,12,7.3517999656916e-05,0.036,0.00133149266045303,0.348
"DMR_10","chr1",27709634,27710030,396,"*",-1.67676137230804,20.1211364676965,9484,2519,2530,12,15,0.00013069866605674,0.052,0.00169908265873761,0.4
"DMR_11","chr19",41882069,41882741,672,"*",-1.48235496606841,19.2706145588893,207428,68543,68555,13,13,0.000155204665942378,0.052,0.00201766065725092,0.432
"DMR_12","chr19",13135318,13135808,490,"*",-1.83610417531132,18.3610417531132,201718,65895,65904,10,10,0.000122529999428193,0.052,0.00237708198890695,0.464
"DMR_13","chr5",67583961,67584297,336,"*",-1.95240962560435,17.5716866304391,327489,103044,103052,9,9,0.000114361332799647,0.052,0.00296522598616228,0.5
"DMR_14","chr12",65671664,65672174,510,"*",-1.98491786699841,9.92458933499204,97535,32164,32168,5,14,0.00013069866605674,0.052,0.0279858518693994,0.972
"DMR_15","chr10",81967195,81967666,471,"*",-1.96015097478285,13.7210568234799,53203,16279,16285,7,9,0.000155204665942378,0.064,0.008658786626259,0.824
"DMR_16","chr6",30095136,30095802,666,"*",-1.13530853729667,24.9767878205267,349249,110534,110555,22,25,0.000163373332570924,0.068,0.000686167996797883,0.232
"DMR_17","chr20",44440824,44441641,817,"*",-1.38023310257627,20.703496538644,254708,82924,82938,15,17,0.000212385332342202,0.076,0.00150303465965251,0.368
"DMR_18","chr2",85640762,85641438,676,"*",-1.70205671482347,18.7226238630582,226052,75029,75039,11,11,0.000187879332456563,0.076,0.00224638332285021,0.448
"DMR_19","chr5",140810051,140811343,1292,"*",-1.29992744312096,20.7988390899353,336145,106334,106349,16,18,0.000253228665484933,0.084,0.00143768532662414,0.36
"DMR_20","chr12",95941571,95943131,1560,"*",-1.12340007472031,21.3446014196859,100609,33040,33058,19,19,0.000253228665484933,0.088,0.0013069866605674,0.344
"DMR_21","chr3",147125712,147127193,1481,"*",-0.983551608898319,27.5394450491529,293936,94040,94067,28,28,0.000228722665599294,0.092,0.000490119997712773,0.176
"DMR_22","chr6",28602513,28603292,779,"*",-0.935139746351452,28.0541923905436,348789,109679,109708,30,34,0.000220553998970748,0.1,0.000465613997827135,0.164
"DMR_23","chr11",32451777,32452839,1062,"*",-1.55392810019609,17.093209102157,69234,21712,21722,11,11,0.000294071998627664,0.104,0.00340633398410377,0.532
"DMR_24","chr11",32454718,32455444,726,"*",-1.59858338270784,15.9858338270784,69237,21723,21732,10,13,0.000351252665027488,0.112,0.00450910397895751,0.608
"DMR_25","chr5",68710808,68711640,832,"*",-1.55865468656113,15.5865468656113,327645,103136,103145,10,10,0.000424770664684404,0.12,0.00509724797621284,0.652
"DMR_26","chr20",3051954,3052483,529,"*",-1.51282922095831,16.6411214305414,248202,80812,80822,11,11,0.000392095998170219,0.124,0.00380659864890254,0.56
"DMR_27","chr19",52390810,52391789,979,"*",-1.35081892015467,18.9114648821654,211021,70275,70288,14,14,0.000392095998170219,0.128,0.00218103398982184,0.444
"DMR_28","chr16",68270129,68271177,1048,"*",-1.36406730482955,17.7328749627841,160665,52329,52341,13,13,0.000424770664684404,0.132,0.0028100213202199,0.492
"DMR_29","chr19",39465821,39466851,1030,"*",-1.35522235413856,17.6178906038012,206670,68103,68115,13,13,0.000449276664570042,0.132,0.00293255131964809,0.496
"DMR_30","chr10",8095755,8096991,1236,"*",-0.862112932715378,25.001275048746,43442,13855,13883,29,46,0.000343083998398941,0.136,0.000686167996797883,0.232
"DMR_31","chr2",157184137,157184978,841,"*",-1.70082309666456,13.6065847733165,234204,76868,76875,8,8,0.000481951331084227,0.144,0.00899370195802939,0.832
"DMR_32","chr18",74960629,74962369,1740,"*",-0.787825960704985,24.4226047818545,195408,63442,63472,31,31,0.000310409331884756,0.148,0.00073517999656916,0.24
"DMR_33","chr2",98703324,98703935,611,"*",-1.30641347383997,16.9833751599196,227258,75517,75529,13,14,0.000571806663998236,0.156,0.0034635146505036,0.536
"DMR_34","chr17",2169272,2169989,717,"*",1.65940932379635,13.2752745903708,167887,54098,54105,8,8,0.000571806663998236,0.164,0.00981873728751256,0.848
"DMR_35","chr9",125795283,125795935,652,"*",-1.61829393440943,12.9463514752754,421029,132930,132937,8,8,0.000612649997140967,0.168,0.0106437726169957,0.852
"DMR_36","chr3",49459591,49460177,586,"*",-1.50153458762982,15.0153458762982,282295,90565,90574,10,12,0.000645324663655152,0.176,0.00594678930558165,0.704
