"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",42927940,42928920,980,"*",-1.42309302503579,37.0004186509307,353218,116244,116269,26,26,0,0,9.53311566052575e-05,0.048
"DMR_2","chr14",24640895,24641706,811,"*",-1.81161027082059,21.7393232498471,121079,39016,39027,12,12,0,0,0.000532265624379354,0.212
"DMR_3","chr1",39874802,39875069,267,"*",-1.68318215881686,20.1981859058023,12601,3654,3665,12,12,0,0,0.000699095148438555,0.26
"DMR_4","chr8",38831148,38831857,709,"*",-1.71374720822991,18.8512192905291,397070,128044,128054,11,11,0,0,0.000857980409447318,0.3
"DMR_5","chr19",7459697,7460327,630,"*",-1.87227220900046,16.8504498810042,199823,64667,64675,9,9,7.94426305043813e-06,0.004,0.00127902635112054,0.376
"DMR_6","chr6",24910720,24911615,895,"*",-1.52604901038482,24.4167841661571,347914,109125,109140,16,17,1.58885261008763e-05,0.008,0.000341603311168839,0.152
"DMR_7","chr12",104697126,104697620,494,"*",-1.56525804845686,18.7830965814824,101705,33495,33506,12,12,1.58885261008763e-05,0.008,0.000881813198598632,0.308
"DMR_8","chr2",85640762,85641438,676,"*",-1.61245904216632,17.7370494638296,226052,75029,75039,11,11,1.58885261008763e-05,0.008,0.00104864272265783,0.34
"DMR_9","chr8",11665774,11666810,1036,"*",-1.48243222313102,23.7189155700963,392864,126917,126932,16,16,2.38327891513144e-05,0.012,0.000397213152521906,0.176
"DMR_10","chr20",44440824,44441641,817,"*",-1.31789904749803,19.7684857124705,254708,82924,82938,15,17,3.97213152521906e-05,0.02,0.000770593515892498,0.284
"DMR_11","chr19",41882069,41882741,672,"*",-1.36393768627795,17.7311899216133,207428,68543,68555,13,13,4.76655783026288e-05,0.024,0.00104864272265783,0.34
"DMR_12","chr5",68710808,68711640,832,"*",-1.57149173398417,15.7149173398417,327645,103136,103145,10,10,5.56098413530669e-05,0.028,0.00168418376669288,0.436
"DMR_13","chr19",13135318,13135808,490,"*",-1.54818527040216,15.4818527040216,201718,65895,65904,10,10,5.56098413530669e-05,0.028,0.00173979360804595,0.452
"DMR_14","chr4",76555347,76556042,695,"*",-1.52521295077366,15.2521295077366,309647,98231,98240,10,10,5.56098413530669e-05,0.028,0.00185895755380252,0.472
"DMR_15","chr22",51066142,51066517,375,"*",-1.65162254755656,6.60649019022625,274776,87991,87994,4,11,8.73868935548194e-05,0.044,0.0429546303137189,0.984
"DMR_16","chr12",95941571,95943131,1560,"*",-1.01355703292199,19.2575836255178,100609,33040,33058,19,19,0.000135052471857448,0.06,0.000810314831144689,0.296
