"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",42927940,42928920,980,"*",-3.32461665618408,86.440033060786,353218,116244,116269,26,26,0,0,0,0
"DMR_2","chr15",72612125,72613427,1302,"*",-3.58322858060547,60.914885870293,143265,46180,46196,17,17,0,0,0.00011362883142216,0.04
"DMR_3","chr20",44440824,44442019,1195,"*",-3.1534722391021,53.6090280647357,254708,82924,82940,17,17,0,0,0.000208319524273959,0.056
"DMR_4","chr8",11665774,11666810,1036,"*",-3.08411405162684,49.3458248260295,392864,126917,126932,16,16,0,0,0.000350355563551659,0.088
"DMR_5","chr16",66612774,66613407,633,"*",-3.95099241388645,47.4119089666374,159996,51802,51813,12,12,0,0,0.000454515325688638,0.104
"DMR_6","chr3",49314155,49315017,862,"*",-3.53461511701462,45.94999652119,282247,90516,90528,13,13,0,0,0.000501860672114538,0.108
"DMR_7","chr19",8372814,8373608,794,"*",-3.56141834314127,42.7370201176953,200208,64840,64851,12,12,0,0,0.000672303919247777,0.136
"DMR_8","chr2",85640762,85641438,676,"*",-3.66967640704285,40.3664404774713,226052,75029,75039,11,11,0,0,0.000927968789947636,0.16
"DMR_9","chr7",27183133,27185732,2599,"*",-1.70837963556739,71.7519446938304,372815,121414,121455,42,42,9.46906928517996e-06,0.004,1.89381385703599e-05,0.008
"DMR_10","chr14",59931922,59932321,399,"*",-3.696950396756,36.96950396756,124601,40477,40486,10,10,1.89381385703599e-05,0.008,0.00141089132349181,0.22
"DMR_11","chr4",76555347,76556042,695,"*",-3.42154168671716,34.2154168671716,309647,98231,98240,10,10,1.89381385703599e-05,0.008,0.00200744268845815,0.288
"DMR_12","chr10",43892790,43893073,283,"*",-3.32469600424552,33.2469600424552,47816,14872,14881,10,10,2.84072078555399e-05,0.012,0.00225363848987283,0.304
"DMR_13","chr20",36148133,36149750,1617,"*",-1.3169852014231,53.9963932583473,253121,82271,82311,41,41,3.78762771407198e-05,0.016,0.000198850454988779,0.052
"DMR_14","chr1",66998484,66999933,1449,"*",-2.41734877393945,43.5122779309101,18017,5539,5556,18,18,4.73453464258998e-05,0.016,0.000624958572821877,0.128
"DMR_15","chr5",178986131,178986906,775,"*",-2.75766846044475,38.6073584462264,342791,108131,108144,14,14,7.57525542814397e-05,0.024,0.00109841203708088,0.18
"DMR_16","chr11",72928926,72929983,1057,"*",-2.70813879964586,37.9139431950421,77418,24952,24965,14,14,0.00010415976213698,0.032,0.00119310272993267,0.188
"DMR_17","chr1",32827150,32828191,1041,"*",-2.97963374469143,35.7556049362971,10896,3054,3065,12,12,7.57525542814397e-05,0.032,0.00167602526347685,0.256
"DMR_18","chr6",30042626,30044259,1633,"*",-1.68957248680864,50.6871746042592,349223,110434,110463,30,37,9.46906928517996e-05,0.036,0.000321948355696119,0.084
"DMR_19","chr6",33160450,33161849,1399,"*",-2.11074099554541,48.5470428975443,350575,114611,114633,23,34,9.46906928517996e-05,0.036,0.000388231840692378,0.092
"DMR_20","chr11",504301,504937,636,"*",-3.3412401795,26.729921436,63386,19272,19279,8,8,9.46906928517996e-05,0.036,0.005577281808971,0.508
"DMR_21","chr3",129692887,129694665,1778,"*",-2.24706945463081,38.2001807287237,291830,93272,93288,17,18,0.000160974177848059,0.044,0.00117416459136231,0.184
