"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr2",85640762,85641438,676,"*",-2.70569931683925,29.7626924852318,226052,75029,75039,11,11,0,0,0.00142373609842583,0.324
"DMR_2","chr6",42927940,42928920,980,"*",-1.7799737408601,46.2793172623626,353218,116244,116269,26,26,8.95431508443919e-06,0.004,0.000196994931857662,0.084
"DMR_3","chr15",72612125,72613029,904,"*",-2.4589965608907,36.8849484133605,143265,46180,46194,15,17,8.95431508443919e-06,0.004,0.000492487329644156,0.144
"DMR_4","chr20",44440824,44441818,994,"*",-2.12122722769381,33.939635643101,254708,82924,82939,16,17,3.58172603377568e-05,0.012,0.000716345206755135,0.196
"DMR_5","chr8",11665774,11666810,1036,"*",-2.04931766782378,32.7890826851804,392864,126917,126932,16,16,8.05888357599527e-05,0.032,0.000850659933021723,0.224
"DMR_6","chr19",8372814,8373608,794,"*",-2.25547490109768,27.0656988131722,200208,64840,64851,12,12,0.00010745178101327,0.04,0.00210426404484321,0.42
"DMR_7","chr3",49314370,49315017,647,"*",-2.23803346923021,26.8564016307626,282247,90517,90528,12,13,0.000125360411182149,0.048,0.00217589856551872,0.424
"DMR_8","chr16",66612774,66613407,633,"*",-2.18750547215149,26.2500656658179,159996,51802,51813,12,12,0.000134314726266588,0.052,0.0023997564426297,0.44
"DMR_9","chr16",1821253,1822346,1093,"*",-2.15810024906887,25.8972029888264,150492,48575,48586,12,12,0.000152223356435466,0.056,0.00253407116889629,0.46
"DMR_10","chr11",72928926,72929983,1057,"*",-1.85672266934614,25.994117370846,77418,24952,24965,14,14,0.000322355343039811,0.104,0.00249825390855853,0.456
"DMR_11","chr10",43892790,43893073,283,"*",-2.22923782003037,22.2923782003037,47816,14872,14881,10,10,0.00033130965812425,0.104,0.00503232507745483,0.604
"DMR_12","chr14",59931922,59932321,399,"*",-2.20142819460167,22.0142819460167,124601,40477,40486,10,10,0.000376081233546446,0.12,0.00539945199591683,0.616
"DMR_13","chr11",67417958,67418365,407,"*",-2.29787977214253,20.6809179492827,75557,24512,24520,9,9,0.000510395959813034,0.148,0.00700227439603145,0.68
"DMR_14","chr11",504301,504937,636,"*",-2.35427361534993,18.8341889227995,63386,19272,19279,8,8,0.000492487329644156,0.148,0.0101631476208385,0.776
"DMR_15","chr3",160822372,160823781,1409,"*",-1.23701387419881,28.4513191065727,295742,94630,94652,23,23,0.000599939110657426,0.184,0.00171027418112789,0.372
"DMR_16","chr1",41174571,41175199,628,"*",-2.27965130210607,18.2372104168486,12976,3877,3884,8,8,0.000698436576586257,0.184,0.0114077974175755,0.804
"DMR_17","chr3",49940919,49941613,694,"*",-1.8728714278965,22.4744571347579,282458,90654,90665,12,13,0.000707390891670696,0.192,0.0048442844606816,0.604
"DMR_18","chr17",43324322,43325323,1001,"*",-2.18472808165339,19.6625527348806,177460,58246,58254,9,9,0.000743208152008453,0.192,0.00858718816597718,0.74
"DMR_19","chr3",129692887,129694665,1778,"*",-1.46471326812126,24.9001255580615,291830,93272,93288,17,18,0.000895431508443919,0.208,0.00292806103261162,0.5
"DMR_20","chr16",733709,734817,1108,"*",-1.71682816905287,22.3187661976873,149636,48280,48292,13,13,0.000913340138612797,0.216,0.00501441644728595,0.604
"DMR_21","chr7",2802374,2803065,691,"*",-2.00832671873401,20.0832671873401,369504,120593,120602,10,10,0.000823796987768406,0.22,0.00790666021955981,0.72
"DMR_22","chr6",33160847,33161849,1002,"*",-1.27300047647592,26.7330100059943,350575,114613,114633,21,34,0.00077007109726177,0.224,0.0021938071956876,0.424
"DMR_23","chr11",128554586,128555749,1163,"*",-2.16439047249944,17.3151237799955,85789,27659,27666,8,8,0.00101183760454163,0.232,0.0139239599563029,0.848
"DMR_24","chr6",29648271,29649092,821,"*",-1.20722221781261,25.3516665740649,349091,110179,110199,21,23,0.000940203083866115,0.268,0.00277583767617615,0.48
"DMR_25","chr17",79004850,79005662,812,"*",-2.03512278577092,18.3161050719383,186130,61020,61028,9,9,0.00128942137215924,0.272,0.0112466197460556,0.804
"DMR_26","chr19",7459697,7460327,630,"*",-2.03120349855075,18.2808314869567,199823,64667,64675,9,9,0.00130733000232812,0.272,0.0113092999516467,0.804
