chrom	chromStart	chromEnd	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr2	85640762	85641438	676	*	-2.70569931683925	29.7626924852318	226052	75029	75039	11	11	0	0	0.001423736098426	0.324
chr6	42927940	42928920	980	*	-1.7799737408601	46.2793172623626	353218	116244	116269	26	26	0.00000895431508443919	0.004	0.000196994931858	0.084
chr20	44440824	44441818	994	*	-2.12122722769381	33.939635643101	254708	82924	82939	16	17	0.0000358172603377568	0.012	0.000716345206755	0.196
chr8	11665774	11666810	1036	*	-2.04931766782378	32.7890826851804	392864	126917	126932	16	16	0.0000805888357599527	0.032	0.000850659933022	0.224
chr1	41174571	41175199	628	*	-2.27965130210607	18.2372104168486	12976	3877	3884	8	8	0.000698436576586	0.184	0.011407797417576	0.804
chr3	129692887	129694665	1778	*	-1.46471326812126	24.9001255580615	291830	93272	93288	17	18	0.000895431508444	0.208	0.002928061032612	0.5
chr6	33160847	33161849	1002	*	-1.27300047647592	26.7330100059943	350575	114613	114633	21	34	0.000770071097262	0.224	0.002193807195688	0.424
chr11	128554586	128555749	1163	*	-2.16439047249944	17.3151237799955	85789	27659	27666	8	8	0.001011837604542	0.232	0.013923959956303	0.848
chr19	7459697	7460327	630	*	-2.03120349855075	18.2808314869567	199823	64667	64675	9	9	0.001307330002328	0.272	0.011309299951647	0.804
chr8	38831148	38831693	545	*	-1.88134453384005	18.8134453384005	397070	128044	128053	10	11	0.001477461988932	0.316	0.01022582782643	0.776
chr15	78555890	78557094	1204	*	-1.4430453404505	21.6456801067576	144702	46843	46857	15	15	0.001683411235875	0.32	0.00582925911997	0.636
chr5	178986131	178986906	775	*	-1.53063307158941	21.4288630022517	342791	108131	108144	14	14	0.001540142194524	0.32	0.005981482476405	0.64
chr17	37123638	37123949	311	*	-1.96013973667604	17.6412576300843	175211	57014	57022	9	10	0.001647593975537	0.32	0.012956893927184	0.84
chr6	32121055	32121555	500	*	-1.22116227398703	23.2020832057536	350187	113705	113723	19	76	0.001370010207919	0.328	0.004110030623758	0.568
chr16	725142	725862	720	*	-1.93694428661519	17.4324985795367	149625	48252	48260	9	13	0.00175504575655	0.34	0.013619513243432	0.848
chr1	32827389	32828105	716	*	-1.84856185027813	18.4856185027813	10896	3055	3064	10	12	0.001665502605706	0.344	0.010825766937087	0.8
chr19	41882069	41882741	672	*	-1.53900973324078	20.0071265321301	207428	68543	68555	13	13	0.002068446784505	0.368	0.007969340425151	0.72
chr6	30698584	30698987	403	*	-1.68464655252985	18.5311120778283	349504	111488	111498	11	11	0.002507208223643	0.384	0.010718315156074	0.792
chr4	76555347	76556042	695	*	-1.7654480484837	17.654480484837	309647	98231	98240	10	10	0.002426619387883	0.404	0.01293003098193	0.84
chr12	6755816	6756751	935	*	-1.91417441350381	15.3133953080305	88973	28461	28468	8	8	0.002757929046007	0.468	0.022179838464156	0.928
chr14	88458917	88460351	1434	*	-1.26343542839947	20.2149668543914	129343	42017	42032	16	16	0.003044467128709	0.472	0.007629076451942	0.716
chr7	29185545	29187019	1474	*	-1.06788100135505	19.2218580243908	373254	121698	121715	18	18	0.002686294525332	0.488	0.009402030838661	0.752
chr11	15136059	15136505	446	*	-1.77305140332896	15.9574626299607	67363	21090	21098	9	9	0.003814538225971	0.536	0.01908164544494	0.9
chr6	33244752	33245359	607	*	-1.38489863387438	18.0036822403669	350627	114900	114912	13	48	0.004199573774602	0.544	0.012016690843317	0.816
chr1	66998484	66999753	1269	*	-1.30329002464324	18.2460603450053	18017	5539	5552	14	18	0.004504020487473	0.556	0.011407797417576	0.804
chr10	5488225	5488628	403	*	-1.72031920483332	15.4828728434998	42754	13742	13750	9	11	0.004880101721019	0.58	0.021311269900965	0.928
chr16	66877873	66879016	1143	*	-1.18310730120369	17.7466095180553	160078	51844	51858	15	15	0.004799512885259	0.608	0.012715127419904	0.836
chr15	75639113	75639998	885	*	-1.24712092135768	17.4596928990075	144070	46644	46657	14	15	0.005533766722183	0.612	0.013556833037841	0.848
chr1	39874802	39875069	267	*	-1.42441724965414	17.0930069958497	12601	3654	3665	12	12	0.005560629667437	0.616	0.014667168108311	0.852
chr7	27187372	27188020	648	*	-1.53305788441347	15.3305788441347	372816	121460	121469	10	14	0.006769462203836	0.616	0.022135066888734	0.928
chr19	13135318	13135808	490	*	-1.53229509784241	15.3229509784241	201718	65895	65904	10	10	0.006823188094343	0.616	0.022161929833987	0.928
chr12	104697126	104697620	494	*	-1.42101882718403	17.0522259262083	101705	33495	33506	12	12	0.005659127133366	0.62	0.014837300094916	0.852
chr2	220083241	220083951	710	*	-1.46742600042164	16.1416860046381	242048	79379	79389	11	13	0.006420243915543	0.62	0.018230985511918	0.884
chr1	204182957	204183655	698	*	-1.31774790475472	17.1307227618114	33405	11537	11549	13	13	0.005730761654041	0.624	0.014595533587636	0.852
chr17	4802532	4803053	521	*	-1.51976228962934	15.1976228962934	168831	54356	54365	10	11	0.007235086588227	0.628	0.022770823259729	0.928
chr17	47440006	47440217	211	*	-1.79223480613437	12.5456436429406	178552	58761	58767	7	9	0.005560629667437	0.652	0.043732874872401	0.964
chr7	27183133	27183816	683	*	-1.25612210385842	16.3295873501595	372815	121414	121426	13	42	0.00710077186196	0.676	0.017559411880585	0.876
chr17	38465217	38465510	293	*	-1.62967633720638	14.6670870348574	175665	57298	57306	9	9	0.007333584054156	0.684	0.02586006196386	0.94
chr4	186732926	186733060	134	*	1.77645611526321	12.4351928068425	319318	101285	101291	7	10	0.006026254051828	0.684	0.044744712476943	0.964
chr14	24803679	24804342	663	*	-1.38633313956574	15.2496645352231	121184	39140	39150	11	11	0.009402030838661	0.716	0.022538011067533	0.928
chr1	76540110	76540641	531	*	-1.37562960752149	15.1319256827364	18753	5843	5853	11	11	0.009858700907968	0.72	0.023128995863106	0.932
chr3	152016594	152017293	699	*	-1.69725038532613	13.578003082609	294712	94257	94264	8	8	0.007270903848565	0.724	0.03392789985494	0.956
chr1	201857693	201857955	262	*	-1.44475195931121	14.4475195931121	32660	11309	11318	10	16	0.009849746592883	0.728	0.027364386898046	0.944
chr8	144952622	144953114	492	*	-1.56590491983113	14.0931442784802	410492	131171	131179	9	9	0.009625888715772	0.764	0.029961138272534	0.956
chr5	134735544	134736026	482	*	-1.550476029452	13.954284265068	334680	105485	105493	9	18	0.010234782141514	0.772	0.031035656082666	0.956
