"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",42927940,42928920,980,"*",-3.44743423488888,89.6332901071108,353218,116244,116269,26,26,0,0,0,0
"DMR_2","chr7",27183133,27185732,2599,"*",-1.73705852025518,72.9564578507174,372815,121414,121455,42,42,0,0,0,0
"DMR_3","chr6",30042137,30043924,1787,"*",-1.90307453255794,64.70453410697,349223,110427,110460,34,37,0,0,0,0
"DMR_4","chr12",115134148,115136308,2160,"*",-1.23625866685667,63.0491920096902,104222,34409,34459,51,51,0,0,1.73166170256979e-05,0.008
"DMR_5","chr6",24910562,24911615,1053,"*",-3.29753287665959,56.058058903213,347914,109124,109140,17,17,0,0,6.06081595899425e-05,0.028
"DMR_6","chr8",11665774,11666810,1036,"*",-3.07911301648228,49.2658082637165,392864,126917,126932,16,16,0,0,0.000138532936205583,0.064
"DMR_7","chr1",66998484,66999933,1449,"*",-2.5582357747787,46.0482439460166,18017,5539,5556,18,18,0,0,0.000173166170256979,0.068
"DMR_8","chr14",24640895,24641706,811,"*",-3.5987491705646,43.1849900467751,121079,39016,39027,12,12,0,0,0.000190482787282676,0.076
"DMR_9","chr20",44440824,44442019,1195,"*",-2.53436550872362,43.0842136483016,254708,82924,82940,17,17,0,0,0.000190482787282676,0.076
"DMR_10","chr12",95941571,95943131,1560,"*",-2.21956518643344,42.1717385422353,100609,33040,33058,19,19,0,0,0.000190482787282676,0.076
"DMR_11","chr16",68270129,68271177,1048,"*",-2.88562360713345,37.5131068927349,160665,52329,52341,13,13,0,0,0.000277065872411166,0.112
"DMR_12","chr8",38831148,38831857,709,"*",-3.39015382439565,37.2916920683521,397070,128044,128054,11,11,0,0,0.000277065872411166,0.112
"DMR_13","chr22",38092643,38093207,564,"*",-3.06560248498057,36.7872298197668,270289,86814,86825,12,12,0,0,0.000311699106462561,0.116
"DMR_14","chr12",104697126,104697620,494,"*",-3.00106851409642,36.012822169157,101705,33495,33506,12,12,0,0,0.000329015723488259,0.124
"DMR_15","chr1",39874802,39875069,267,"*",-2.96292826719256,35.5551392063107,12601,3654,3665,12,12,0,0,0.000363648957539655,0.14
"DMR_16","chr2",85640762,85641438,676,"*",-3.2230417312076,35.4534590432836,226052,75029,75039,11,11,0,0,0.000372307266052504,0.144
"DMR_17","chr1",27709634,27710030,396,"*",-2.89411639836124,34.7293967803348,9484,2519,2530,12,15,0,0,0.000398282191591051,0.152
"DMR_18","chr16",2286287,2287294,1007,"*",-2.30771868543291,34.6157802814937,150802,48824,48838,15,15,0,0,0.0004069405001039,0.152
"DMR_19","chr12",6419409,6420426,1017,"*",-2.13106349183902,34.0970158694243,88793,28327,28342,16,19,0,0,0.000441573734155295,0.156
"DMR_20","chr14",59931922,59932321,399,"*",-3.12657354287021,31.2657354287021,124601,40477,40486,10,10,0,0,0.000709981298053612,0.212
"DMR_21","chr4",76555347,76556042,695,"*",-3.06201359160273,30.6201359160273,309647,98231,98240,10,10,0,0,0.000770589457643555,0.216
"DMR_22","chr5",68710808,68711640,832,"*",-3.00516577923371,30.0516577923371,327645,103136,103145,10,10,0,0,0.000796564383182102,0.22
"DMR_23","chr3",147125712,147127193,1481,"*",-1.8957357073695,53.0805998063461,293936,94040,94067,28,28,8.65830851284893e-06,0.004,9.52413936413382e-05,0.044
"DMR_24","chr6",28602513,28603407,894,"*",-1.5618095115173,51.539713880071,348789,109679,109711,33,34,8.65830851284893e-06,0.004,0.000112558010667036,0.052
"DMR_25","chr10",8095477,8096991,1514,"*",-1.50639985179525,51.2175949610386,43442,13850,13883,34,46,8.65830851284893e-06,0.004,0.000112558010667036,0.052
"DMR_26","chr11",72928926,72929983,1057,"*",-2.56933547075072,35.9706965905101,77418,24952,24965,14,14,8.65830851284893e-06,0.004,0.000329015723488259,0.124
"DMR_27","chr15",72612125,72613427,1302,"*",-2.09056706468422,35.5396400996317,143265,46180,46196,17,17,8.65830851284893e-06,0.004,0.000363648957539655,0.14
"DMR_28","chr7",27186676,27188020,1344,"*",-2.46622088849182,34.5270924388855,372816,121456,121469,14,14,8.65830851284893e-06,0.004,0.000424257117129598,0.152
"DMR_29","chr16",66612774,66613407,633,"*",-2.8469274873839,34.1631298486069,159996,51802,51813,12,12,8.65830851284893e-06,0.004,0.000441573734155295,0.156
"DMR_30","chr3",49314155,49315017,862,"*",-2.62334638312187,34.1035029805843,282247,90516,90528,13,13,8.65830851284893e-06,0.004,0.000441573734155295,0.156
"DMR_31","chr3",129693124,129694665,1541,"*",-2.11724688163048,31.7587032244571,291830,93274,93288,15,18,8.65830851284893e-06,0.004,0.000614739904412274,0.196
"DMR_32","chr2",220083241,220083951,710,"*",-2.79952815339753,30.7948096873729,242048,79379,79389,11,13,8.65830851284893e-06,0.004,0.000753272840617857,0.216
"DMR_33","chr5",67583961,67584297,336,"*",-3.26127617798159,29.3514856018343,327489,103044,103052,9,9,8.65830851284893e-06,0.004,0.000935097319387684,0.236
"DMR_34","chr2",98703108,98703935,827,"*",-2.37675960295753,33.2746344414054,227258,75516,75529,14,14,1.73166170256979e-05,0.008,0.000510840202258087,0.172
"DMR_35","chr15",45421578,45422553,975,"*",-1.94835917331765,33.1221059464,138201,44658,44674,17,18,1.73166170256979e-05,0.008,0.000519498510770936,0.176
"DMR_36","chr5",178986131,178986906,775,"*",-2.32891811907103,32.6048536669944,342791,108131,108144,14,14,1.73166170256979e-05,0.008,0.000545473436309483,0.18
"DMR_37","chr11",32454718,32455735,1017,"*",-2.41635115876512,31.4125650639465,69237,21723,21735,13,13,1.73166170256979e-05,0.008,0.000692664681027914,0.208
"DMR_38","chr2",71205052,71206528,1476,"*",-2.40436393294679,31.2567311283083,224491,74353,74365,13,13,1.73166170256979e-05,0.008,0.000709981298053612,0.212
