"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr11",67417958,67418365,407,"*",-2.31236344191578,20.811270977242,75557,24512,24520,9,9,7.35011882692103e-05,0.024,0.00305438271252052,0.564
"DMR_2","chr15",72612125,72613281,1156,"*",-1.93186163349399,30.9097861359039,143265,46180,46195,16,17,8.16679869657893e-05,0.04,0.000579842707457104,0.208
"DMR_3","chr17",79004850,79005662,812,"*",-2.24168684469519,20.1751816022567,186130,61020,61028,9,9,0.000122501980448684,0.048,0.00351172343952894,0.592
"DMR_4","chr19",8372814,8373608,794,"*",-2.03105907348285,24.3727088817942,200208,64840,64851,12,12,0.000171502772628157,0.064,0.00149452416147394,0.364
"DMR_5","chr7",2802374,2803065,691,"*",-2.01047590969524,20.1047590969524,369504,120593,120602,10,10,0.000277671155683684,0.088,0.00353622383561868,0.592
"DMR_6","chr6",31543219,31543686,467,"*",-1.9516691919027,23.4200303028324,349821,112068,112079,12,12,0.000253170759593947,0.092,0.00187836370021315,0.432
"DMR_7","chr12",752646,753199,553,"*",-2.19013211980454,15.3309248386318,87281,27975,27981,7,9,0.000220503564807631,0.092,0.0112048478117063,0.872
"DMR_8","chr2",85640762,85641438,676,"*",-1.98805841610761,21.8686425771837,226052,75029,75039,11,11,0.000261337558290526,0.096,0.00250720719984973,0.504
"DMR_9","chr6",29648161,29649092,931,"*",-1.193023722745,27.439545623135,349091,110177,110199,23,23,0.000253170759593947,0.104,0.000898347856623682,0.288
"DMR_10","chr16",66612774,66613407,633,"*",-1.90428403335536,22.8514084002643,159996,51802,51813,12,12,0.000285837954380262,0.104,0.00209886726502078,0.464
"DMR_11","chr21",34774627,34775045,418,"*",-2.15967488280488,15.1177241796342,261437,84478,84484,7,9,0.000253170759593947,0.104,0.0118091909152531,0.884
"DMR_12","chr4",1201315,1203001,1686,"*",-1.27898484193326,24.3007119967319,301650,96224,96242,19,22,0.000318505149166578,0.12,0.0015108577588671,0.368
"DMR_13","chr20",44440824,44441818,994,"*",-1.47388722341569,23.5821955746511,254708,82924,82939,16,17,0.000400173136132367,0.136,0.00181302931064052,0.42
"DMR_14","chr10",43892790,43893073,283,"*",-1.92187519253034,19.2187519253034,47816,14872,14881,10,10,0.000424673532222104,0.136,0.00436923730266973,0.644
"DMR_15","chr3",160822372,160823781,1409,"*",-1.13165953995947,26.0281694190677,295742,94630,94652,23,23,0.00038383953873921,0.144,0.00114335181752105,0.316
"DMR_16","chr8",19539991,19540809,818,"*",-1.87436082589838,20.6179690848822,393696,127104,127114,11,11,0.000408339934828946,0.144,0.00316871789427262,0.568
"DMR_17","chr3",49314370,49315017,647,"*",-1.77332398106582,21.2798877727899,282247,90517,90528,12,13,0.000473674324401578,0.152,0.00283387914771289,0.54
"DMR_18","chr16",1821253,1822346,1093,"*",-1.74924670502053,20.9909604602464,150492,48575,48586,12,12,0.000506341519187894,0.156,0.00294004753076841,0.548
"DMR_19","chr6",42927975,42928546,571,"*",-1.10292523039384,24.2643550686646,353218,116246,116267,22,26,0.000473674324401578,0.16,0.00153535815495684,0.368
"DMR_20","chr22",32026779,32026975,196,"*",-1.99230715168094,9.9615357584047,268944,86487,86491,5,8,0.00068601109051263,0.18,0.0465017517783204,0.996
"DMR_21","chr14",59931922,59932321,399,"*",-1.80013100557108,18.0013100557108,124601,40477,40486,10,10,0.000718678285298946,0.196,0.00588826186023341,0.744
"DMR_22","chr1",155107224,155107961,737,"*",-1.93834084402614,15.5067267522091,25800,9048,9055,8,18,0.000751345480085261,0.204,0.0107311734873047,0.86
"DMR_23","chr17",43324322,43325323,1001,"*",-1.8564590062446,16.7081310562014,177460,58246,58254,9,9,0.000857513863140787,0.224,0.00809329750830972,0.792
"DMR_24","chr3",49940919,49941613,694,"*",-1.59944648068373,19.1933577682048,282458,90654,90665,12,13,0.00103718343446552,0.236,0.00437740410136631,0.644
"DMR_25","chr1",109203610,109204654,1044,"*",-1.34669778495383,21.5471645592613,21724,6962,6977,16,18,0.000824846668354472,0.248,0.00265420957638815,0.524
