seqnames,start,end,width,LoopAnchors,Enhancers,Promoters
chr1,817074,817557,484,NA,NA,blue
chr1,905610,905841,232,NA,NA,NA
chr1,916382,917066,685,NA,NA,NA
chr1,920496,920740,245,NA,NA,NA
chr1,925973,926382,410,NA,NA,NA
chr1,966069,966375,307,NA,NA,blue
chr1,1022937,1023390,454,green,NA,NA
chr1,1144253,1144499,247,green,NA,NA
chr1,1157288,1157849,562,green,purple,NA
chr1,1158327,1158768,442,green,purple,NA
chr1,1182749,1183350,602,NA,NA,NA
chr1,1260963,1261423,461,NA,purple,NA
chr1,1304619,1305122,504,NA,purple,NA
chr1,1426041,1427329,1289,NA,NA,blue
chr1,1430350,1430853,504,NA,NA,NA
chr1,1433177,1433976,800,NA,NA,blue
chr1,1758796,1759081,286,green,purple,NA
chr1,1919644,1919951,308,NA,NA,blue
chr1,1988672,1988951,280,NA,NA,NA
chr1,2003397,2004229,833,NA,NA,blue
chr1,2189855,2190226,372,green,purple,NA
chr1,2213152,2213677,526,green,NA,blue
chr1,2278906,2280196,1291,NA,NA,NA
chr1,2294210,2294904,695,NA,NA,NA
chr1,2300486,2300764,279,NA,purple,NA
chr1,2314177,2314543,367,NA,purple,NA
chr1,2543494,2543866,373,NA,NA,NA
chr1,2578453,2578937,485,NA,purple,NA
chr1,2584962,2585341,380,NA,NA,blue
chr1,2847612,2847921,310,NA,NA,NA
chr1,2888004,2888539,536,NA,NA,NA
chr1,2888655,2889067,413,NA,NA,NA
chr1,3072538,3072904,367,NA,NA,NA
chr1,3078296,3079317,1022,NA,NA,NA
chr1,3168159,3168951,793,NA,NA,NA
chr1,3173622,3173948,327,NA,NA,NA
chr1,3226197,3226680,484,NA,NA,NA
chr1,3313404,3314124,721,NA,NA,NA
chr1,3320577,3321239,663,NA,NA,NA
chr1,3323115,3323934,820,NA,NA,NA
chr1,3350518,3351840,1323,NA,NA,NA
chr1,3351959,3352885,927,NA,NA,NA
chr1,3364568,3365168,601,NA,NA,NA
chr1,3539826,3540591,766,NA,NA,NA
chr1,3597954,3598694,741,NA,NA,NA
chr1,3609198,3609715,518,NA,NA,NA
chr1,3678154,3678681,528,NA,purple,NA
chr1,3704074,3704355,282,NA,NA,NA
chr1,6058363,6059216,854,NA,NA,NA
chr1,6138282,6139103,822,NA,NA,NA
chr1,6152295,6152654,360,NA,NA,NA
chr1,6348132,6348760,629,green,purple,NA
chr1,6358207,6358796,590,green,purple,NA
chr1,6358950,6359614,665,green,purple,NA
chr1,6490991,6491403,413,NA,NA,NA
chr1,6495104,6495494,391,NA,NA,NA
chr1,6603826,6604208,383,NA,purple,NA
chr1,6615495,6615892,398,NA,NA,blue
chr1,6730358,6730781,424,NA,NA,NA
chr1,7645365,7645872,508,NA,NA,NA
chr1,7649548,7649988,441,NA,NA,NA
chr1,7782099,7782379,281,NA,purple,blue
chr1,7783015,7783728,714,NA,NA,blue
chr1,8216927,8217879,953,NA,NA,NA
chr1,8396320,8397357,1038,green,purple,NA
chr1,8660257,8661540,1284,NA,NA,NA
chr1,8858954,8859858,905,NA,purple,NA
chr1,9002113,9002423,311,green,NA,NA
chr1,9078797,9079440,644,NA,NA,NA
chr1,9084615,9085855,1241,NA,NA,NA
chr1,9234102,9234444,343,NA,NA,blue
chr1,9267039,9267348,310,green,NA,NA
chr1,9280357,9280713,357,green,NA,NA
chr1,9317762,9318117,356,NA,NA,NA
